EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
B7284T0026-GRPROD-PO,3.0,B7284T0026-GRPROD,2.0,POUSSOIRS
LLK-AC-2350B-ETACOM,2.0,LLK-AC-2350B,1.0,Compresseur 40 bars TEMPO 2350 B
B7214T0007-FOURIR-CT,3.0,B7214T0007-FOURIR,2.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0007-TRANSF-TP,3.0,B7214T0007-TRANSF,2.0,SOUFFLEUSE SBO 20 SIDEL
B8638T0038-CIREAU,2.0,B8638T0038,1.0,Refroidisseurs CTA 1/2 TRANE-FIORINI
B8654T0011,1.0,,,Armoire Climatisation CIAT 01
LLK-AC-2350A-ETACOM,2.0,LLK-AC-2350A,1.0,Compresseur 40 bars TEMPO 2350 A
B7210T8004,1.0,,,LAVEUSE BOUTEILLES(SDA)
B7252T0021-GRETIQ,2.0,B7252T0021,1.0,ETIQUETEUSE OPERA 300 SACMI
B7214T0008-RS-PS-14,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0013,1.0,,,SOUFFLEUSE
ELKS_UAP1-N-BS-PR,1.0,,,Nouvelle siroperie
B7217T0002,1.0,,,SOUTIREUSE
B7220T8001,1.0,,,MONOBLOC
B7222T8003,1.0,,,ROBOT DE CONDIT - ENCAISSEUSE -
B7252T0021-GRETIQ-HM,3.0,B7252T0021-GRETIQ,2.0,ETIQUETEUSE OPERA 300 SACMI
B8638T0056,1.0,,,GROUPE DE PRODUCTION EAU GLACE N°2
B3971T0052,2.0,B3972E5099-J01,1.0,POSTE MT-BT1
B7214T0008-RS-PS-04,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0007-RS-PS-20,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0013-S167,3.0,B7214T0013-S004,2.0,SOUFFLEUSE
B7214T8001,1.0,,,SOUFFLEUSE SBO 20 5767
B7216T8002,1.0,,,REMPLISSEUSE SF SELECT 140/15C
B7101T0158,2.0,B7228T0076,1.0,LIGNE DE PREPARATION JUS
B7252T8005,1.0,,,ETIQUETEUSE SACMI OPERA 300
B7272T8000,1.0,,,FARDELEUSE TSM 4 SDI
B7752T0112,1.0,,,TRANSPORTEUR A BANDE        TB21A
B7290T8001,1.0,,,HOUSSEUSE COMBI PAL 2000
B7759T8004,1.0,,,CONVOYEURS
