machineID;machineID_desc;maint_comp;maint_date;job_type;job_class;entity;source
B3529R0523-S030;ENSEMBLE CUVERIE;B3529R0523-S046;2023-11-12;PREV;PREVEN;ELKS_UAP2;2023_PREVENTIF
B3602T8004;POMPE D'ENVOIE VERS PREPARATION;B3602T8004-J02;2023-11-13;CORR;PREVEN;ELKS_DM_UT;2023_CORRECTIF
B3623B8003-S001;POMPE CIP PU902;B3623B8003-S020;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-08-17;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-08-20;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-08-26;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-09-14;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-09-28;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-10-10;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0062-R001;GROUPE ELECTROPOMPE CENTRIFUGE KWPK 1P044;B3602R0092-R001;2023-10-13;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0612-R001;GROUPE MOTOPOMPE ENGRENAGE 1P026;B3604R0102-R001;2023-10-16;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0612-R002;GROUPE MOTOPOMPE ENGRENAGE 1P027;B3513R0826-R002;2023-08-21;CORR;CHAUDR;BBS;2023_CORRECTIF
B3623R0613-R002;GROUPE MOTOPOMPE ENGRENAGE  1P041;B3604R0102-R008;2023-10-26;CORR;CHAUDR;BBS;2023_CORRECTIF
B4600R2000-A070;ACCESSOIRE;B8638T0009;2023-05-15;CORR;FC;BS1;2023_CORRECTIF
B4600R2000-A070;ACCESSOIRE;B8638T0009;2023-06-06;PREV;FC;BS1;2023_PREVENTIF
B4688R3000-B003;VANNE TOR;B4688R0019-B035;2023-12-22;CORR;AUTOM;BS2;2023_CORRECTIF
B4688R3000-B026;VANNE REGULATRICE;B4688R0220-B003;2023-12-22;CORR;CHAUDR;BS2;2023_CORRECTIF
B4688R3000-B026;VANNE REGULATRICE;B4688R0220-B004;2023-12-22;CORR;CHAUDR;BS2;2023_CORRECTIF
B6001T0006-EXTRUD;SECTION EXTRUDEUSE;B6001T0006-EXTRUD-FO;2023-08-22;CORR;MECA;UPL_S;2023_CORRECTIF
B6001T0015-EXTRUD;Section Extrudeuse;B6001T0015-EXTRUD-FO;2023-10-19;CORR;ELEC;UPL_S;2023_CORRECTIF
B6001T0015-EXTRUD;Section Extrudeuse;B6001T0015-EXTRUD-TR;2023-10-19;CORR;AUTOM;UPL_S;2023_CORRECTIF
B6001T0015-EXTRUD;Section Extrudeuse;B6001T0015-EXTRUD-FO;2023-11-16;CORR;ELEC;UPL_S;2023_CORRECTIF
B6001T0016-EXTRUD;Section Extrudeuse;B6001T0016-EXTRUD-TR;2023-12-05;CORR;ELEC;UPL_S;2023_CORRECTIF
B6001T0016-UNIROB;Unite Robot;B6001T0016-UNIROB-PH;2023-10-31;CORR;AUTOM;UPL_S;2023_CORRECTIF
B6001T0017-EXTRUD;Section Extrudeuse;B6001T0017-EXTRUD-TR;2023-12-20;CORR;MECA;UPL_S;2023_CORRECTIF
B6010T0006-PFR;Partie Fermeture;B6010R-VE6;2023-11-15;CORR;MECA;UPL_S;2023_CORRECTIF
B6220T0001-S001;RESERVOIRE DE MELANGE;B6220T0001-S118;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S001;RESERVOIRE DE MELANGE;B6220T0001-S118;2023-11-12;CORR;MECA;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S001;RESERVOIRE DE MELANGE;B6220T0001-S118;2023-12-23;CORR;MECA;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S002;SYSTÈME DE DISPERSION MICROCUT;B3616R0700-S001;2023-11-12;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S006;CONDITIONNEUR DE VAPEUR;B6220T0001-S105;2023-11-13;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S007;CONDENSEUR;B6220T0001-S110;2023-11-12;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S008;INSTTALATION DOSEUR;B6220T0001-S020;2023-11-12;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S008;INSTTALATION DOSEUR;B6220T0001-S020;2023-11-12;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S011;PREPARATION KETCHUP 1;B6220T0001-S125;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S012;LAVEUSE FUTS;B6220T0001-S128;2023-05-18;CORR;ELEC;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S012;LAVEUSE FUTS;B6220T0001-S128;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S012;LAVEUSE FUTS;B6220T0001-S128;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0001-S012;LAVEUSE FUTS;B6220T0001-S128;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
B6220T0002-S007;INSTTALATION DOSEUR;B6220T0002-S020;2023-06-01;PREV;PREVEN;ELKS_UAP2;2023_PREVENTIF
B6225T0001-S094;ENSEMBLE CUVE HUILE 1;B7101T0115;2023-06-01;CORR;PREVEN;ELKS_UAP2;2023_CORRECTIF
